order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
2955,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-06/ed-1/seq-1/","The Topeka state journal. April 06, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/khi_bender_ver01/data/sn82016014/00295870126/1917040601/0042.jpg","http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-06/ed-1/seq-1/thumbnail.jpg",5420,5790,"http://s3.amazonaws.com/ndnp-batches/khi_bender_ver01/data/sn82016014/00295870126/1917040601/0042.xml"
2956,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-06/ed-1/seq-2/","The Topeka state journal. April 06, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/khi_bender_ver01/data/sn82016014/00295870126/1917040601/0043.jpg","http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-06/ed-1/seq-2/thumbnail.jpg",5440,5824,"http://s3.amazonaws.com/ndnp-batches/khi_bender_ver01/data/sn82016014/00295870126/1917040601/0043.xml"
2957,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-06/ed-1/seq-3/","The Topeka state journal. April 06, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/khi_bender_ver01/data/sn82016014/00295870126/1917040601/0044.jpg","http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-06/ed-1/seq-3/thumbnail.jpg",5444,5825,"http://s3.amazonaws.com/ndnp-batches/khi_bender_ver01/data/sn82016014/00295870126/1917040601/0044.xml"
2958,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-06/ed-1/seq-4/","The Topeka state journal. April 06, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/khi_bender_ver01/data/sn82016014/00295870126/1917040601/0045.jpg","http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-06/ed-1/seq-4/thumbnail.jpg",5436,5817,"http://s3.amazonaws.com/ndnp-batches/khi_bender_ver01/data/sn82016014/00295870126/1917040601/0045.xml"
2959,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-06/ed-1/seq-5/","The Topeka state journal. April 06, 1917. Page 5",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/khi_bender_ver01/data/sn82016014/00295870126/1917040601/0046.jpg","http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-06/ed-1/seq-5/thumbnail.jpg",5424,5792,"http://s3.amazonaws.com/ndnp-batches/khi_bender_ver01/data/sn82016014/00295870126/1917040601/0046.xml"
2960,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-06/ed-1/seq-6/","The Topeka state journal. April 06, 1917. Page 6",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/khi_bender_ver01/data/sn82016014/00295870126/1917040601/0047.jpg","http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-06/ed-1/seq-6/thumbnail.jpg",5440,5774,"http://s3.amazonaws.com/ndnp-batches/khi_bender_ver01/data/sn82016014/00295870126/1917040601/0047.xml"
2961,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-06/ed-1/seq-7/","The Topeka state journal. April 06, 1917. Page 7",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/khi_bender_ver01/data/sn82016014/00295870126/1917040601/0048.jpg","http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-06/ed-1/seq-7/thumbnail.jpg",5468,5799,"http://s3.amazonaws.com/ndnp-batches/khi_bender_ver01/data/sn82016014/00295870126/1917040601/0048.xml"
2962,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-06/ed-1/seq-8/","The Topeka state journal. April 06, 1917. Page 8",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/khi_bender_ver01/data/sn82016014/00295870126/1917040601/0049.jpg","http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-06/ed-1/seq-8/thumbnail.jpg",5424,5815,"http://s3.amazonaws.com/ndnp-batches/khi_bender_ver01/data/sn82016014/00295870126/1917040601/0049.xml"
2963,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-06/ed-1/seq-9/","The Topeka state journal. April 06, 1917. Page 9",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/khi_bender_ver01/data/sn82016014/00295870126/1917040601/0050.jpg","http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-06/ed-1/seq-9/thumbnail.jpg",5424,5826,"http://s3.amazonaws.com/ndnp-batches/khi_bender_ver01/data/sn82016014/00295870126/1917040601/0050.xml"
2964,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-06/ed-1/seq-10/","The Topeka state journal. April 06, 1917. Page 10",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/khi_bender_ver01/data/sn82016014/00295870126/1917040601/0051.jpg","http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-06/ed-1/seq-10/thumbnail.jpg",5476,5835,"http://s3.amazonaws.com/ndnp-batches/khi_bender_ver01/data/sn82016014/00295870126/1917040601/0051.xml"
